pincode,area,lat,lon
110001,Connaught Place,28.6315,77.2167
110002,Daryaganj,28.6446,77.2436
110003,Lodhi Colony,28.5892,77.2214
110004,Karol Bagh,28.6519,77.1909
110005,Paharganj,28.6421,77.2154
110006,Chandni Chowk,28.6562,77.2300
110007,Kashmere Gate,28.6673,77.2273
110008,Patel Nagar,28.6505,77.1685
110009,G.T.B. Nagar,28.6966,77.2046
110010,Dhaula Kuan,28.5913,77.1613
110011,Rashtrapati Bhavan,28.6143,77.1995
110012,National Stadium,28.6111,77.2334
110013,Jangpura,28.5757,77.2467
110014,Lajpat Nagar,28.5677,77.2431
110015,Rajouri Garden,28.6425,77.1222
110016,Hauz Khas,28.5494,77.2001
110017,Saket,28.5245,77.2066
110018,Tilak Nagar,28.6395,77.0920
110019,Kalkaji,28.5490,77.2588
110020,Okhla Industrial Area,28.5355,77.2713
110021,Chanakyapuri,28.5880,77.1885
110022,R.K. Puram,28.5672,77.1760
110023,Sarojini Nagar,28.5750,77.1986
110024,Defence Colony,28.5717,77.2345
110025,Jamia Nagar,28.5615,77.2810
110026,Ashok Vihar,28.6900,77.1760
110027,Subhash Nagar,28.6410,77.1090
110028,Naraina,28.6215,77.1360
110029,Safdarjung Enclave,28.5650,77.2060
110030,Mehrauli,28.5190,77.1850
110031,Gandhi Nagar,28.6600,77.2760
110032,Shahdara,28.6730,77.2890
110033,Model Town,28.7040,77.1930
110034,Pitampura,28.6980,77.1320
110035,Shalimar Bagh,28.7130,77.1600
110036,Alipur,28.7970,77.1320
110037,Kapashera,28.5250,77.0890
110038,Delhi Cantt,28.5890,77.1350
110039,Narela,28.8500,77.0900
110040,Bawana,28.8000,77.0400
110041,Nangloi,28.6810,77.0670
110042,Adarsh Nagar,28.7200,77.1700
110043,Najafgarh,28.6100,76.9850
110044,Badarpur,28.4990,77.3030
110045,Palam,28.5930,77.0780
110046,Mayapuri,28.6230,77.1180
110047,Vasant Kunj,28.5270,77.1540
110048,Greater Kailash,28.5480,77.2430
110049,East of Kailash,28.5620,77.2530
110050,South Extension,28.5690,77.2200
110051,Krishna Nagar,28.6550,77.2850
110052,Wazirpur,28.6980,77.1600
110053,Seelampur,28.6690,77.2660
110054,Civil Lines,28.6760,77.2240
110055,Aram Bagh,28.6420,77.2090
110056,Janakpuri,28.6210,77.0900
110057,Vasant Vihar,28.5570,77.1580
110058,Janakpuri West,28.6280,77.0870
110059,Uttam Nagar,28.6215,77.0560
110060,New Rajinder Nagar,28.6390,77.1810
110061,Bijwasan,28.5450,77.0550
110062,Khanpur,28.5130,77.2300
110063,Paschim Vihar,28.6700,77.1100
110064,Tagore Garden,28.6400,77.1120
110065,East of Kailash Extension,28.5620,77.2500
110066,Munirka,28.5540,77.1740
110067,JNU Campus,28.5400,77.1660
110068,Neb Sarai,28.5200,77.1900
110069,IGNOU Campus,28.5150,77.1700
110070,Vasant Kunj South,28.5150,77.1550
110071,Chhawla,28.5480,76.9880
110072,Dwarka Sector 1,28.5950,77.0500
110073,Dwarka Sector 6,28.5950,77.0700
110074,Chhatarpur,28.5070,77.1750
110075,Dwarka Sector 10,28.5730,77.0670
110076,Sarita Vihar,28.5280,77.2900
110077,Dwarka Sector 21,28.5510,77.0860
110078,Dwarka Sector 12,28.5910,77.0580
110079,Dwarka Sector 23,28.5530,77.0550
110080,Sangam Vihar,28.5080,77.2460
110081,Kanjhawala,28.7440,77.0400
110082,Khera Kalan,28.8100,77.1100
110083,Mangolpuri,28.6880,77.0900
110084,Burari,28.7530,77.1990
110085,Rohini Sector 7,28.7190,77.1180
110086,Rohini Sector 15,28.7320,77.1100
110087,Paschim Vihar West,28.6750,77.1050
110088,Rohini Sector 9,28.7220,77.1210
110089,Rohini Sector 5,28.7100,77.1150
110090,Karawal Nagar,28.7260,77.2930
110091,Mayur Vihar Phase 1,28.6060,77.2950
110092,Laxmi Nagar,28.6300,77.2780
110093,Seemapuri,28.6950,77.3250
110094,Gokalpuri,28.7090,77.2700
110095,Dilshad Garden,28.6810,77.3240
110096,Mayur Vihar Phase 3,28.6070,77.3400
